ID,Education,Marital_Status,Income,Kids,NumOfPurchases,Age,Product_1,Product_2
1331,Graduation,Single,35790.0,1,7,47,9196,11932
2225,Graduation,Divorced,82582.0,0,21,47,49988,48368
9381,Graduation,Married,66373.0,2,23,46,29916,14171
6260,Master,Together,82384.0,0,27,69,21520,36255
10383,Graduation,Divorced,70287.0,0,21,58,8622,48829
7437,Graduation,Single,27938.0,1,6,36,42375,45911
8375,PhD,Married,55954.0,1,19,56,6473,15596
6853,Master,Single,75777.0,0,21,42,2599,18812
3076,Graduation,Together,66653.0,2,22,49,22100,2655
1012,Graduation,Single,61823.0,1,24,72,24373,36410
6518,PhD,Widow,67680.0,1,19,73,35024,12533
4137,Graduation,Together,70666.0,0,16,76,29749,42375
8082,Graduation,Married,25721.0,1,5,53,23581,2315
1386,Graduation,Together,32474.0,2,4,57,19307,24434
9369,2n Cycle,Single,88194.0,1,32,45,37521,9523
4477,Graduation,Together,69096.0,1,18,66,42870,3731
1357,Graduation,Together,74854.0,3,19,54,40401,17951
1402,Master,Married,66991.0,0,21,70,41991,38326
6312,Graduation,Married,65031.0,1,30,65,3509,33522
8132,PhD,Married,60631.0,2,24,49,28877,29288
1050,Graduation,Married,28332.0,0,8,72,5183,35066
5846,Graduation,Divorced,40246.0,1,4,47,44146,48479
1859,Master,Married,75251.0,0,19,52,39323,45586
7503,Graduation,Single,75825.0,0,22,48,48829,14960
10401,2n Cycle,Together,26326.0,0,4,48,24298,2631
1618,Graduation,Together,56046.0,0,21,59,20384,9785
3332,Graduation,Single,29760.0,1,12,39,45670,8904
2261,Graduation,Married,26304.0,1,4,55,48959,36364
5346,2n Cycle,Married,23559.0,1,9,51,9523,41897
4119,Master,Together,38620.0,0,11,61,46771,12698
535,Graduation,Divorced,81361.0,0,27,37,38799,47325
5268,Graduation,Married,29440.0,2,7,64,604,35092
273,Master,Married,36138.0,2,13,54,40532,44919
4452,Graduation,Single,50388.0,1,17,67,33320,10427
8504,Graduation,Married,79593.0,0,19,51,48836,37360
771,Graduation,Together,54178.0,1,10,57,5380,4687
11178,Master,Single,42394.0,1,5,52,39323,28253
2230,PhD,Married,23626.0,1,10,54,39962,30802
7516,Graduation,Married,30096.0,1,6,41,2315,33723
7247,Graduation,Widow,47916.0,1,22,64,40810,32667
11100,Graduation,Divorced,51813.0,2,7,52,41116,35096
4646,2n Cycle,Married,78497.0,0,25,73,41495,35760
3037,PhD,Married,50150.0,0,16,41,16167,31483
1473,2n Cycle,Single,47823.0,1,7,64,43013,46504
1016,PhD,Single,34554.0,1,7,65,25585,2631
4518,Graduation,Together,85693.0,1,27,45,25137,45313
9370,PhD,Married,65846.0,0,16,79,33686,3352
8908,Graduation,Married,87195.0,0,20,65,18884,38538
8373,Basic,Together,24594.0,1,5,45,13379,13165
7533,Graduation,Married,49096.0,2,13,60,35760,1002
2683,Graduation,Married,52413.0,2,26,55,21097,14428
3629,Graduation,Single,38557.0,1,9,46,9452,7416
10991,Master,Married,89058.0,0,14,64,34106,27678
5077,Graduation,Together,77298.0,1,24,45,29979,17298
7431,PhD,Single,68126.0,0,17,33,2599,6000
3267,Master,Together,57288.0,1,20,61,7581,3943
999,Graduation,Single,86037.0,0,25,33,39397,20384
9215,PhD,Married,43974.0,1,21,44,42375,40232
2286,Graduation,Single,50785.0,2,8,62,28703,27214
1592,Graduation,Married,90765.0,0,15,54,41731,17638
367,2n Cycle,Married,36550.0,1,20,46,40440,41629
5234,2n Cycle,Together,30753.0,2,7,57,11435,12295
9862,Graduation,Together,21918.0,1,7,55,26618,48714
9805,Master,Together,56129.0,1,22,71,27678,35089
6205,Master,Single,32557.0,1,9,57,16550,46348
8442,Master,Married,19510.0,2,6,39,16550,11945
7386,Graduation,Divorced,30992.0,1,5,48,34874,46632
7215,Graduation,Single,101970.0,0,27,41,3203,38532
1491,2n Cycle,Together,71488.0,0,16,59,26804,2445
11071,Graduation,Single,79607.0,0,16,40,36255,34356
3381,Master,Married,54348.0,2,8,71,45670,48918
11051,PhD,Together,77376.0,2,23,68,48317,26804
8026,Graduation,Married,62998.0,1,19,72,13633,10265
433,Master,Alone,61331.0,2,23,66,44602,14211
9597,Graduation,Married,73448.0,0,19,55,11107,16992
5290,PhD,Married,41551.0,2,16,60,38941,45536
1685,PhD,Together,62981.0,0,23,57,18246,5421
5342,Basic,Divorced,9548.0,1,6,48,29154,2599
9579,PhD,Married,33762.0,3,9,65,7581,6724
7660,PhD,Alone,35860.0,2,6,51,29550,37927
1461,PhD,Divorced,36921.0,2,7,59,46504,9196
821,Master,Single,92859.0,0,22,32,23501,1523
11084,Master,Together,65104.0,1,17,48,38456,22308
8690,Graduation,Married,86111.0,0,23,62,8135,1562
2937,PhD,Single,68352.0,1,25,50,45126,46184
9701,Graduation,Together,41883.0,1,12,36,49028,22813
9949,Graduation,Married,59809.0,2,15,48,8382,16167
10837,Graduation,Married,23957.0,1,6,49,21399,43378
3120,Graduation,Together,38547.0,1,4,43,1002,7011
5885,2n Cycle,Married,35688.0,3,16,51,7559,47946
4050,Master,Married,49605.0,0,8,58,30536,7416
3830,Master,Married,59354.0,2,16,71,28954,30005
7987,Graduation,Married,65747.0,1,19,55,7776,34275
7798,2n Cycle,Together,46344.0,1,17,52,16777,7581
92,Graduation,Alone,34176.0,1,11,36,17314,18292
7055,PhD,Together,61010.0,1,26,72,33379,42208
10240,Graduation,Together,69372.0,0,21,75,41716,23114
3025,Graduation,Single,49967.0,1,15,66,28040,37360
9283,Graduation,Single,60199.0,3,4,46,30835,12928
9970,Graduation,Together,55375.0,1,9,47,33379,16589
2730,Graduation,Single,80317.0,0,18,69,18246,1242
2795,Master,Single,30523.0,3,4,66,35116,22643
9260,PhD,Married,70356.0,0,27,79,40582,34275
8182,Graduation,Married,23228.0,1,11,40,8203,17394
10095,PhD,Divorced,74165.0,0,20,49,27208,42384
8475,PhD,Married,157243.0,1,37,51,3220,4779
4370,Graduation,Together,43482.0,3,9,58,23541,8827
10573,Graduation,Divorced,62551.0,0,18,71,2443,37521
3712,Graduation,Divorced,52332.0,0,12,65,43013,18292
6637,Graduation,Single,66951.0,0,15,36,38332,8068
3152,Graduation,Together,26091.0,2,9,67,23738,32521
5610,Graduation,Together,33456.0,2,6,59,17394,19442
6460,Graduation,Married,28718.0,1,7,42,26825,22896
1349,Graduation,Married,50447.0,2,8,54,20551,19094
1880,PhD,Together,53537.0,2,8,65,11505,38326
641,Graduation,Single,52074.0,1,7,57,46632,45183
8717,PhD,Married,80427.0,1,28,49,2445,8827
10314,PhD,Married,83837.0,0,25,76,3876,21455
10854,PhD,Married,38853.0,2,7,54,42167,19442
10492,Graduation,Together,38285.0,3,4,65,33255,48578
6935,2n Cycle,Married,78497.0,0,25,73,38941,13387
7698,PhD,Married,51650.0,1,10,48,37080,8930
3559,2n Cycle,Married,16248.0,1,9,36,37927,37422
10562,Master,Married,66835.0,0,24,78,34106,13073
10796,Master,Married,30477.0,1,6,40,48520,42025
2563,Basic,Married,28249.0,0,6,63,1453,31433
3518,Graduation,Married,25271.0,1,5,41,1981,7111
5823,PhD,Single,32303.0,1,7,54,14428,46771
3934,Graduation,Married,61286.0,1,18,58,48314,34595
6982,Graduation,Married,74068.0,0,24,48,16175,32937
6431,PhD,Married,45759.0,2,7,60,49028,14422
9733,Basic,Together,24882.0,1,5,46,23581,18292
5602,PhD,Together,66973.0,0,28,35,38456,10431
7829,2n Cycle,Divorced,36640.0,1,6,124,40172,26804
1324,Graduation,Married,38872.0,1,8,36,42576,14211
326,Graduation,Married,51148.0,2,16,51,8890,1136
7224,Graduation,Married,31353.0,2,6,47,49576,40655
6999,Master,Married,69661.0,0,23,44,41544,7366
9938,Graduation,Married,80067.0,0,17,70,7971,14960
6422,Graduation,Married,86718.0,0,17,70,39962,28624
3182,PhD,Single,46854.0,2,15,51,49954,1638
7300,Graduation,Divorced,69142.0,1,19,72,7682,36364
10424,Graduation,Single,75922.0,0,18,56,27208,44956
8727,Graduation,Divorced,63693.0,1,29,46,16992,21358
2798,PhD,Together,102160.0,0,26,47,13165,39962
1030,PhD,Single,40637.0,2,6,59,27678,25622
624,Master,Single,18890.0,0,4,40,3140,46963
5176,Graduation,Together,29604.0,1,5,36,2599,29650
5552,Master,Divorced,48721.0,2,17,61,15346,15596
868,Graduation,Married,44794.0,1,6,58,26804,36820
380,Graduation,Divorced,64497.0,1,29,70,43441,45536
2677,Graduation,Together,46097.0,1,15,68,18779,2080
6521,Graduation,Together,77972.0,0,20,70,1638,45536
6927,PhD,Married,44377.0,2,19,56,46982,17638
2877,Master,Together,46014.0,2,26,50,31424,48750
0,Graduation,Married,70951.0,0,17,39,28954,15596
1584,Graduation,Married,41443.0,1,20,47,17298,7337
7264,2n Cycle,Single,52195.0,3,4,46,3140,7776
6274,Master,Married,83790.0,0,25,76,17159,39323
1377,Master,Widow,44551.0,1,12,70,1164,41116
454,Graduation,Together,69508.0,1,28,44,45532,12295
1755,2n Cycle,Together,45204.0,1,7,36,1523,17159
2075,Graduation,Married,72460.0,0,16,55,47370,10794
4785,PhD,Together,77622.0,2,22,54,9249,4704
9076,PhD,Married,30732.0,1,13,44,15262,49620
7079,Graduation,Divorced,63887.0,1,32,62,12545,15742
4653,Graduation,Together,42011.0,1,12,46,31433,46195
7375,Graduation,Together,51369.0,1,16,48,19892,22289
709,Graduation,Divorced,51537.0,1,18,72,36832,22100
460,PhD,Married,79930.0,0,17,52,43979,13142
3726,PhD,Together,34320.0,1,4,38,47370,44320
6798,Graduation,Single,37070.0,2,23,58,21358,5183
5341,2n Cycle,Divorced,81975.0,1,14,62,49981,22798
1606,Graduation,Together,38590.0,1,4,53,46145,1242
9617,Graduation,Single,15033.0,0,5,73,6754,36782
3233,PhD,Married,62745.0,1,29,59,30718,7111
89,2n Cycle,Married,22212.0,1,8,49,40257,8622
2936,Master,Together,23661.0,1,5,42,15834,21975
9449,PhD,Single,79761.0,1,19,66,21528,42584
7297,Graduation,Single,7500.0,1,11,51,22868,31948
11004,2n Cycle,Single,60182.0,1,4,131,7782,1523
313,Graduation,Widow,73455.0,0,22,56,37989,26804
9940,Graduation,Together,64961.0,1,16,66,32924,12588
10735,Graduation,Single,22804.0,1,5,53,44126,41116
9529,Graduation,Married,73687.0,0,22,34,42838,25862
6439,Graduation,Married,61074.0,1,31,66,48520,38532
7411,PhD,Married,31686.0,2,6,60,46327,11765
2176,Graduation,Married,80134.0,1,16,52,46771,40172
9265,Graduation,Married,75027.0,1,21,71,4102,31841
8867,PhD,Married,67546.0,0,20,36,40952,3082
8932,Master,Together,65176.0,1,25,55,37422,46292
10236,Master,Single,31160.0,1,7,49,48317,21099
6340,Graduation,Single,29938.0,1,6,39,2443,36388
10089,Graduation,Divorced,102692.0,0,29,50,26680,24485
2227,2n Cycle,Together,26490.0,0,11,66,9353,26804
10992,Graduation,Together,75702.0,2,26,57,27184,41289
5304,PhD,Single,30899.0,1,6,50,11932,49981
309,PhD,Together,63342.0,1,19,63,39962,27678
3406,Graduation,Single,45989.0,1,16,60,27208,19162
2661,Graduation,Single,18701.0,2,10,60,36742,15834
3153,PhD,Single,40737.0,3,4,67,39355,33068
10264,Graduation,Divorced,15287.0,1,6,45,46292,24434
1184,PhD,Divorced,69674.0,2,25,56,17298,14232
4200,Master,Married,44159.0,1,15,54,23946,38795
9396,PhD,Married,37717.0,1,4,46,9055,14478
2387,Master,Together,43776.0,2,17,72,39476,40251
6690,Master,Married,38179.0,2,11,58,19042,7416
1225,Graduation,Married,80124.0,0,19,61,36637,31405
9703,PhD,Married,38097.0,2,11,54,32137,44956
291,Graduation,Married,72940.0,0,13,54,21520,32768
4557,Graduation,Together,22070.0,1,8,54,30835,40042
2379,Graduation,Single,69267.0,0,14,71,22868,8125
5726,Master,Single,31788.0,1,10,41,42121,44351
3066,PhD,Together,61905.0,1,12,49,15660,9983
6336,Graduation,Married,29315.0,2,10,64,8890,21349
10967,Graduation,Divorced,33378.0,2,9,61,27184,45536
2304,PhD,Together,66313.0,1,23,61,46504,5530
3445,Graduation,Single,60714.0,0,23,68,25885,13497
7828,Master,Together,77882.0,0,12,43,4390,42542
3762,PhD,Single,69867.0,0,17,38,13142,26825
4391,Master,Divorced,63841.0,1,22,56,31433,22873
4669,Basic,Married,24480.0,1,10,43,13633,49028
10144,Graduation,Together,51369.0,1,16,48,48479,16547
8652,Graduation,Together,37760.0,0,13,78,21877,45670
1672,PhD,Together,65640.0,1,15,50,45888,27096
8962,Master,Married,44319.0,2,7,49,48479,10550
9974,Graduation,Married,30631.0,1,7,50,41238,19307
10983,Graduation,Together,75278.0,0,23,72,9353,12038
8148,Master,Together,50898.0,2,33,68,3943,34437
10102,Graduation,Widow,79946.0,0,22,58,2447,37080
4697,Master,Divorced,35416.0,0,16,75,29007,11855
9262,2n Cycle,Together,32414.0,0,5,40,16547,45347
7254,Graduation,Together,38361.0,1,10,55,11620,38487
4543,Graduation,Married,82497.0,0,19,44,2315,17898
4927,Graduation,Together,16626.0,2,9,53,22090,7276
10451,Graduation,Together,29672.0,2,4,59,38897,23196
2926,Master,Together,55951.0,1,23,72,9249,16850
2874,2n Cycle,Divorced,35388.0,1,5,36,25137,16777
9738,Master,Together,42386.0,1,7,38,13770,12295
7119,Graduation,Single,68627.0,0,12,42,44086,23541
3924,PhD,Divorced,57912.0,1,28,59,21275,27766
5827,Graduation,Divorced,35246.0,2,11,66,530,49368
5596,2n Cycle,Together,58821.0,1,21,68,27961,18884
10812,PhD,Married,46377.0,1,7,46,2599,35156
1717,Graduation,Single,39747.0,1,13,36,36364,15660
9491,Graduation,Together,23976.0,1,10,40,14706,40582
9274,Master,Married,80950.0,0,23,63,9353,16847
6609,Graduation,Widow,27038.0,0,7,58,28179,11107
6963,Graduation,Single,77457.0,0,18,77,44320,8203
4440,Master,Married,64100.0,1,18,60,48520,23541
1379,Master,Together,42670.0,0,11,32,21275,31433
10032,Graduation,Divorced,12571.0,1,11,48,7489,41116
2826,Graduation,Married,22574.0,3,7,57,34356,7111
6320,Master,Single,70893.0,0,23,48,36820,33523
3050,Graduation,Married,54198.0,2,16,58,22113,25467
231,Master,Together,28839.0,2,7,68,26176,37989
2392,Graduation,Married,40321.0,2,8,52,47911,8930
9478,Graduation,Single,66503.0,1,15,39,33332,16630
113,Graduation,Married,30833.0,2,6,73,44351,29550
1802,Graduation,Married,64795.0,1,21,53,46966,4102
520,Graduation,Married,34421.0,1,4,50,21275,49767
8275,PhD,Divorced,47025.0,2,4,59,32775,11618
9750,PhD,Divorced,64325.0,1,23,63,33224,623
2607,Graduation,Single,40464.0,1,24,71,38031,4711
7214,Graduation,Married,62187.0,0,18,67,35096,26441
5835,PhD,Divorced,14849.0,1,9,48,47511,28055
3896,Graduation,Married,27255.0,1,5,40,22626,17008
10350,PhD,Married,54432.0,3,5,74,19589,30817
7786,PhD,Single,29999.0,1,12,38,3731,12038
2861,Graduation,Single,24072.0,1,4,41,38867,46348
663,PhD,Single,33996.0,0,6,35,37360,5135
10675,PhD,Married,66334.0,1,19,68,26176,29916
2521,Master,Married,35178.0,1,5,53,17951,1002
9592,Graduation,Together,22010.0,1,7,41,31625,5411
10151,Graduation,Divorced,62204.0,2,22,64,2447,38341
7381,Graduation,Divorced,75693.0,0,22,56,25885,2655
4099,Graduation,Married,30675.0,1,5,52,7567,28698
9560,Graduation,Together,83003.0,0,22,59,5135,30802
1150,PhD,Together,83532.0,0,15,125,14171,2606
10172,Graduation,Single,68655.0,0,21,36,25895,41123
11191,Graduation,Divorced,41411.0,0,8,38,22337,25885
9707,PhD,Married,55212.0,1,20,55,29612,42218
6245,PhD,Together,59292.0,1,18,74,36056,35031
8234,Basic,Together,27190.0,1,4,51,33332,38800
1411,Graduation,Divorced,82623.0,0,16,72,31948,17008
8553,Graduation,Married,44300.0,2,6,59,31487,19229
1826,Graduation,Divorced,84835.0,0,15,54,40440,7276
8842,Graduation,Widow,30372.0,2,8,53,8703,13633
11030,Master,Married,33181.0,1,4,48,17898,34356
2579,Graduation,Married,71113.0,1,26,67,9868,35066
175,Graduation,Married,71952.0,1,22,38,26825,38532
9185,PhD,Single,69759.0,0,18,58,19732,17008
11056,Graduation,Married,72099.0,0,18,50,38456,45957
9365,PhD,Single,60000.0,1,24,48,22113,40665
6201,Graduation,Single,38643.0,2,7,46,11795,27214
2061,Graduation,Married,50737.0,1,7,69,35047,37080
6184,PhD,Married,68462.0,0,15,55,10265,15333
6142,Master,Married,65073.0,0,14,81,22643,1508
4107,PhD,Together,46681.0,2,16,76,7782,28877
7274,Graduation,Married,78618.0,0,22,67,10367,32183
9336,PhD,Widow,62187.0,1,21,55,38800,40665
2958,Graduation,Married,28442.0,2,10,46,29979,31424
933,PhD,Married,37717.0,1,4,46,31424,16175
5837,Graduation,Married,51479.0,2,22,57,48918,8068
10704,Graduation,Single,54803.0,1,19,55,34935,16550
5125,Graduation,Married,79530.0,0,26,64,41238,33686
4432,Graduation,Divorced,31615.0,1,7,48,4687,11585
5955,Graduation,Together,72025.0,0,16,62,23114,4687
2928,PhD,Single,52614.0,1,16,49,36388,34106
5680,2n Cycle,Married,35684.0,1,5,40,47169,14711
10313,Graduation,Married,48178.0,2,16,49,33224,22308
2557,Master,Single,29548.0,1,5,54,46504,11207
1245,Graduation,Single,63810.0,1,23,58,35760,14211
1519,PhD,Single,38578.0,2,9,52,5513,42542
10703,Master,Single,46098.0,2,11,49,28253,33932
1726,Graduation,Single,22585.0,0,5,54,46534,26680
4459,Graduation,Single,30279.0,1,5,35,28624,9559
1729,PhD,Together,66426.0,1,20,63,19892,20050
1517,Graduation,Single,30822.0,1,5,55,44146,27555
2098,PhD,Married,33581.0,2,4,55,14478,6000
9543,Graduation,Married,19986.0,1,4,39,16630,26936
6878,Graduation,Widow,27421.0,0,14,70,8890,1242
3310,2n Cycle,Married,35688.0,3,16,51,25598,34951
2724,Master,Single,36143.0,1,4,43,26680,16777
948,Graduation,Single,10245.0,1,8,53,7276,46963
6720,Master,Together,43795.0,1,17,56,42132,46145
6202,Graduation,Together,63381.0,1,26,64,32927,1981
2066,Graduation,Together,38823.0,1,7,75,18906,48368
9799,PhD,Divorced,83664.0,2,19,56,24616,10564
8318,Graduation,Together,90300.0,0,19,45,1857,33154
5642,Master,Together,62499.0,1,12,45,33726,26680
2669,Graduation,Single,74293.0,0,16,31,42746,1453
455,PhD,Married,51012.0,0,10,78,28341,9055
7683,Master,Married,70777.0,1,23,56,26618,41855
3428,PhD,Together,68682.0,0,24,33,12928,20050
7414,Graduation,Married,43824.0,2,12,53,29007,17435
6354,Graduation,Together,15345.0,1,6,40,9249,13753
798,Graduation,Single,23442.0,1,5,37,45540,16550
8213,2n Cycle,Together,14515.0,1,11,44,26441,19892
2488,2n Cycle,Divorced,31395.0,2,10,68,1242,36388
9999,Graduation,Together,75276.0,0,23,59,22159,4779
7617,Graduation,Single,42373.0,2,13,50,24434,5568
615,Graduation,Together,30507.0,0,11,64,38177,8211
2552,PhD,Single,55521.0,3,24,69,41407,40338
194,Graduation,Married,48006.0,2,5,59,28703,41589
3645,PhD,Single,27213.0,1,9,52,31405,29650
8890,PhD,Divorced,65808.0,2,14,53,2265,3579
5049,PhD,Together,30351.0,1,6,50,33522,39476
9973,Graduation,Married,50437.0,2,19,61,47370,14232
7301,2n Cycle,Single,23616.0,1,8,42,16589,8125
10882,Graduation,Married,53858.0,1,17,48,27208,17563
7030,PhD,Married,66465.0,1,35,69,8988,17159
7422,Graduation,Single,46923.0,1,16,37,9815,10106
3523,Graduation,Together,75072.0,1,19,62,7197,7045
7106,PhD,Married,75865.0,0,19,81,46771,19769
6504,2n Cycle,Together,19789.0,1,9,49,24616,24186
5067,Graduation,Together,80134.0,0,21,30,40063,47946
4216,Graduation,Single,91065.0,0,26,43,45670,22159
8581,Master,Married,49505.0,2,29,53,7328,33635
5929,PhD,Married,37401.0,1,7,51,39397,34301
3129,Graduation,Married,30096.0,1,6,41,48714,17994
6528,Master,Together,18492.0,1,4,42,11945,605
1361,Master,Married,82584.0,0,16,50,2328,44736
6932,PhD,Married,93027.0,0,22,83,4687,25137
7284,Graduation,Married,48686.0,3,4,71,19466,12698
1340,Graduation,Married,92910.0,0,27,38,35089,16547
8746,Graduation,Married,75433.0,1,19,35,8890,38799
5987,2n Cycle,Together,10404.0,1,7,35,8010,44351
3767,Graduation,Married,61314.0,1,24,56,3943,44146
3725,PhD,Single,84865.0,0,16,63,12502,32137
4324,Graduation,Married,42387.0,1,21,35,24373,48836
238,2n Cycle,Together,67309.0,2,39,57,19997,27085
6694,Graduation,Married,75236.0,1,25,60,8827,5530
498,Graduation,Single,30015.0,1,7,54,34951,7342
9347,Master,Together,50943.0,1,5,68,27678,7567
9699,Graduation,Divorced,67272.0,1,23,58,47325,49368
10664,Master,Widow,51529.0,1,17,75,46771,39397
5455,PhD,Married,32011.0,1,10,53,31948,40992
456,2n Cycle,Married,7500.0,1,7,38,8904,11585
5012,Graduation,Married,28691.0,1,5,35,20541,42898
7495,PhD,Married,56223.0,1,10,76,41629,41900
5029,Graduation,Married,18100.0,0,4,78,49576,41407
10642,Graduation,Single,30279.0,1,5,35,13073,48520
2106,2n Cycle,Married,20130.0,0,5,50,43262,36476
10364,Graduation,Divorced,23295.0,0,4,65,14428,25622
5954,Master,Divorced,42618.0,1,11,52,4535,32937
1137,Graduation,Single,81246.0,0,17,60,41991,7827
2541,Graduation,Married,24027.0,1,7,48,1638,48918
1142,PhD,Married,55707.0,1,16,71,21520,26618
2276,Graduation,Single,57959.0,1,27,69,10431,15333
2807,Graduation,Married,56796.0,1,27,55,46910,18246
6471,Master,Single,36230.0,1,7,53,4535,38161
6131,2n Cycle,Married,70829.0,2,16,44,45313,14711
6233,Graduation,Married,65991.0,1,27,48,46982,1295
4148,Graduation,Married,38988.0,3,19,52,23114,36841
4947,2n Cycle,Single,89572.0,0,24,58,33522,6000
3225,Master,Married,42207.0,1,14,40,12537,28058
7540,Graduation,Married,50300.0,1,13,72,15390,10367
10648,2n Cycle,Together,66664.0,0,19,42,32775,8827
1992,Graduation,Married,60597.0,1,16,60,36670,15856
7851,Graduation,Widow,70165.0,0,22,75,12502,33972
8594,PhD,Widow,50520.0,1,9,66,36476,22643
7059,Graduation,Married,80124.0,0,19,61,8890,7559
2815,Graduation,Married,33183.0,1,9,49,10794,22827
2416,PhD,Single,66582.0,0,20,55,4390,3220
7999,PhD,Together,75261.0,0,17,69,30718,30536
9213,Graduation,Widow,31880.0,1,4,54,7776,16437
9697,Graduation,Married,53790.0,2,20,73,7342,48750
3916,PhD,Together,49269.0,1,25,53,44146,19094
2021,Graduation,Married,61456.0,1,33,49,3579,27096
1581,Graduation,Married,37406.0,1,4,44,43233,22308
564,PhD,Together,56937.0,1,30,43,39508,33154
6619,Graduation,Married,38415.0,2,6,46,623,6179
9081,Graduation,Single,20518.0,1,5,36,11734,2328
178,Graduation,Married,62503.0,1,26,68,11435,36782
916,PhD,Single,41644.0,2,6,52,44086,40042
5512,Master,Married,55842.0,1,17,47,8703,27653
8970,PhD,Married,62010.0,1,19,52,12038,8703
10581,Graduation,Married,41124.0,1,21,47,2447,45888
5300,Master,Married,38961.0,1,6,51,19229,36260
5154,Master,Divorced,37760.0,1,6,52,2443,40063
8346,Graduation,Single,32233.0,1,12,50,25467,26877
1676,Graduation,Married,43057.0,1,15,49,9983,40526
9286,Master,Together,83151.0,0,19,64,42953,35088
2426,PhD,Divorced,78825.0,0,29,60,701,27360
5172,Master,Together,65104.0,1,17,48,27961,19466
5562,Graduation,Married,60093.0,1,21,50,1043,48317
3436,Graduation,Married,14045.0,1,5,55,38897,35031
3921,2n Cycle,Widow,28457.0,0,10,72,27184,7197
3403,PhD,Together,78952.0,1,21,66,40655,8703
22,Graduation,Divorced,46310.0,1,14,48,42584,7559
10965,Graduation,Together,76005.0,0,22,69,44919,6811
9426,Master,Single,58308.0,1,15,60,22090,3778
6605,PhD,Divorced,55614.0,0,20,80,41859,45540
3136,Master,Divorced,59432.0,1,22,62,29550,41715
8737,Graduation,Divorced,55563.0,1,6,46,14428,30835
11088,PhD,Together,78642.0,1,18,53,34951,16850
716,PhD,Together,67911.0,1,27,75,40655,18906
466,Graduation,Married,65275.0,0,21,80,33154,8930
9135,Graduation,Together,27203.0,2,6,74,41544,9983
10623,Master,Together,48330.0,1,5,63,7682,35096
8151,Basic,Married,24279.0,0,9,34,29550,2080
5140,PhD,Married,64355.0,1,21,39,29288,35031
10160,Master,Together,50943.0,1,5,68,11678,36093
4945,Graduation,Widow,53653.0,0,28,71,37365,41527
10584,Graduation,Married,65665.0,1,24,48,43979,16547
6071,Graduation,Single,81217.0,0,22,35,48578,10611
3386,Graduation,Married,34935.0,0,8,32,45586,19094
8939,Graduation,Divorced,61250.0,1,25,65,19053,42838
9925,PhD,Together,39665.0,1,12,43,1523,17638
4320,Graduation,Single,60152.0,1,23,45,37422,14711
5389,Graduation,Married,48920.0,2,16,60,34097,8125
6036,Master,Together,89120.0,0,19,65,6000,22643
